handbag_id,brand,style,material,color,price,stock_quantity
76,Brand 76,Bucket Bag,Faux Leather,Color 76,233.72,172
77,Brand 77,Shoulder Bag,Denim,Color 77,163.34,173
78,Brand 78,Bucket Bag,Denim,Color 78,205.19,162
79,Brand 79,Satchel,Polyester,Color 79,214.87,99
80,Brand 80,Crossbody Bag,Suede,Color 80,47.11,186
81,Brand 81,Crossbody Bag,Leather,Color 81,184.59,190
82,Brand 82,Hobo,Leather,Color 82,75.32,169
83,Brand 83,Bucket Bag,Leather,Color 83,38.93,25
84,Brand 84,Bucket Bag,Leather,Color 84,143.88,51
85,Brand 85,Hobo,Denim,Color 85,262.27,178
86,Brand 86,Satchel,Velvet,Color 86,153.75,161
87,Brand 87,Backpack,Suede,Color 87,235.24,19
88,Brand 88,Shoulder Bag,Velvet,Color 88,215.82,53
89,Brand 89,Crossbody Bag,Velvet,Color 89,235.4,22
90,Brand 90,Bucket Bag,Leather,Color 90,56.13,93
91,Brand 91,Hobo,Nylon,Color 91,119.91,90
92,Brand 92,Crossbody Bag,Polyester,Color 92,264.45,30
93,Brand 93,Clutch,Polyester,Color 93,140.09,154
94,Brand 94,Crossbody Bag,Denim,Color 94,47.82,122
95,Brand 95,Tote,Leather,Color 95,287.74,106
96,Brand 96,Clutch,Velvet,Color 96,46.29,53
97,Brand 97,Backpack,Faux Leather,Color 97,208.91,155
98,Brand 98,Crossbody Bag,Nylon,Color 98,65.49,15
99,Brand 99,Crossbody Bag,Leather,Color 99,142.8,45
100,Brand 100,Clutch,Velvet,Color 100,232.18,167
101,Brand 101,Bucket Bag,Nylon,Color 101,222.59,136
102,Brand 102,Tote,Faux Leather,Color 102,293.99,120
103,Brand 103,Satchel,Polyester,Color 103,149.86,126
104,Brand 104,Shoulder Bag,Polyester,Color 104,34.22,170
105,Brand 105,Hobo,Canvas,Color 105,279.08,20
106,Brand 106,Tote,Denim,Color 106,80.29,113
107,Brand 107,Clutch,Canvas,Color 107,211.77,87
108,Brand 108,Clutch,Polyester,Color 108,34.79,86
109,Brand 109,Crossbody Bag,Leather,Color 109,108.63,131
110,Brand 110,Backpack,Canvas,Color 110,201.46,74
111,Brand 111,Satchel,Faux Leather,Color 111,55.68,193
112,Brand 112,Tote,Leather,Color 112,219.0,144
113,Brand 113,Bucket Bag,Denim,Color 113,296.99,105
114,Brand 114,Tote,Velvet,Color 114,268.24,27
115,Brand 115,Satchel,Leather,Color 115,44.08,63
116,Brand 116,Hobo,Nylon,Color 116,20.59,54
117,Brand 117,Clutch,Suede,Color 117,77.1,100
118,Brand 118,Backpack,Faux Leather,Color 118,131.56,148
119,Brand 119,Clutch,Denim,Color 119,131.16,149
120,Brand 120,Clutch,Polyester,Color 120,88.42,87
121,Brand 121,Hobo,Faux Leather,Color 121,22.15,129
122,Brand 122,Bucket Bag,Canvas,Color 122,251.58,59
123,Brand 123,Clutch,Faux Leather,Color 123,256.31,157
124,Brand 124,Hobo,Denim,Color 124,172.86,142
125,Brand 125,Shoulder Bag,Polyester,Color 125,182.56,152
126,Brand 126,Crossbody Bag,Faux Leather,Color 126,22.76,28
127,Brand 127,Crossbody Bag,Suede,Color 127,186.65,87
128,Brand 128,Clutch,Canvas,Color 128,33.7,22
129,Brand 129,Backpack,Polyester,Color 129,191.53,91
130,Brand 130,Backpack,Nylon,Color 130,31.98,89
131,Brand 131,Crossbody Bag,Velvet,Color 131,221.67,58
132,Brand 132,Hobo,Faux Leather,Color 132,263.87,47
133,Brand 133,Shoulder Bag,Velvet,Color 133,37.77,105
134,Brand 134,Shoulder Bag,Leather,Color 134,182.02,97
135,Brand 135,Crossbody Bag,Velvet,Color 135,248.14,156
136,Brand 136,Crossbody Bag,Polyester,Color 136,72.02,196
137,Brand 137,Crossbody Bag,Faux Leather,Color 137,86.57,92
138,Brand 138,Backpack,Nylon,Color 138,71.13,78
139,Brand 139,Tote,Velvet,Color 139,299.05,13
140,Brand 140,Shoulder Bag,Leather,Color 140,210.85,136
141,Brand 141,Backpack,Nylon,Color 141,224.71,42
142,Brand 142,Bucket Bag,Denim,Color 142,229.46,132
143,Brand 143,Hobo,Canvas,Color 143,82.68,189
144,Brand 144,Backpack,Velvet,Color 144,219.33,151
145,Brand 145,Shoulder Bag,Suede,Color 145,257.2,69
146,Brand 146,Satchel,Faux Leather,Color 146,223.61,143
147,Brand 147,Tote,Suede,Color 147,298.09,45
148,Brand 148,Backpack,Polyester,Color 148,274.21,124
149,Brand 149,Tote,Nylon,Color 149,138.71,43
150,Brand 150,Crossbody Bag,Faux Leather,Color 150,174.91,171
151,Brand 151,Tote,Leather,Color 151,286.62,53
152,Brand 152,Tote,Velvet,Color 152,232.76,82
153,Brand 153,Hobo,Suede,Color 153,95.25,199
154,Brand 154,Satchel,Velvet,Color 154,213.78,172
155,Brand 155,Crossbody Bag,Nylon,Color 155,299.13,51
156,Brand 156,Satchel,Faux Leather,Color 156,242.37,150
157,Brand 157,Shoulder Bag,Suede,Color 157,58.32,49
158,Brand 158,Tote,Canvas,Color 158,216.9,31
159,Brand 159,Bucket Bag,Canvas,Color 159,227.91,53
160,Brand 160,Satchel,Polyester,Color 160,179.67,70
161,Brand 161,Crossbody Bag,Velvet,Color 161,192.33,10
162,Brand 162,Satchel,Canvas,Color 162,257.94,182
163,Brand 163,Backpack,Canvas,Color 163,71.65,158
164,Brand 164,Shoulder Bag,Polyester,Color 164,267.56,161
165,Brand 165,Backpack,Canvas,Color 165,285.84,112
166,Brand 166,Bucket Bag,Canvas,Color 166,76.41,69
167,Brand 167,Bucket Bag,Faux Leather,Color 167,102.79,160
168,Brand 168,Bucket Bag,Polyester,Color 168,229.75,139
169,Brand 169,Clutch,Leather,Color 169,267.2,200
170,Brand 170,Clutch,Denim,Color 170,258.49,23
171,Brand 171,Crossbody Bag,Denim,Color 171,233.51,83
172,Brand 172,Tote,Leather,Color 172,64.78,25
173,Brand 173,Crossbody Bag,Denim,Color 173,228.66,150
174,Brand 174,Tote,Leather,Color 174,279.0,192
175,Brand 175,Crossbody Bag,Velvet,Color 175,291.14,152
176,Brand 176,Shoulder Bag,Canvas,Color 176,256.19,125
177,Brand 177,Bucket Bag,Leather,Color 177,184.38,135
178,Brand 178,Bucket Bag,Suede,Color 178,154.03,33
179,Brand 179,Crossbody Bag,Suede,Color 179,79.67,37
180,Brand 180,Clutch,Nylon,Color 180,37.52,191
181,Brand 181,Backpack,Faux Leather,Color 181,206.77,18
182,Brand 182,Satchel,Polyester,Color 182,50.84,53
183,Brand 183,Crossbody Bag,Polyester,Color 183,81.4,152
184,Brand 184,Shoulder Bag,Nylon,Color 184,124.56,141
185,Brand 185,Backpack,Suede,Color 185,111.36,188
186,Brand 186,Shoulder Bag,Suede,Color 186,108.41,114
187,Brand 187,Shoulder Bag,Faux Leather,Color 187,78.86,188
188,Brand 188,Backpack,Canvas,Color 188,32.08,195
189,Brand 189,Shoulder Bag,Velvet,Color 189,239.4,139
190,Brand 190,Hobo,Faux Leather,Color 190,28.8,97
191,Brand 191,Crossbody Bag,Nylon,Color 191,88.18,149
192,Brand 192,Bucket Bag,Velvet,Color 192,222.67,156
193,Brand 193,Clutch,Polyester,Color 193,29.19,99
194,Brand 194,Shoulder Bag,Faux Leather,Color 194,248.69,154
195,Brand 195,Clutch,Nylon,Color 195,50.92,153
196,Brand 196,Backpack,Suede,Color 196,248.61,175
197,Brand 197,Clutch,Suede,Color 197,247.25,120
198,Brand 198,Tote,Nylon,Color 198,26.72,169
199,Brand 199,Satchel,Faux Leather,Color 199,189.89,186
200,Brand 200,Backpack,Canvas,Color 200,45.06,182
